date,open,high,low,close,volume
14/03/07,19.2437,19.6598,19.1791,19.6598,75730300
15/03/07,19.6024,19.7101,19.5163,19.5737,51757100
16/03/07,19.624,19.7172,19.5163,19.6096,65055300
19/03/07,19.6168,19.9684,19.5163,19.9684,49412000
20/03/07,20.0401,20.2051,19.9181,19.9755,47902400
21/03/07,20.015,20.4635,19.7746,20.4635,72808200
22/03/07,20.4635,20.485,20.0975,20.2841,47934900
23/03/07,20.2482,20.2841,19.9468,20.1047,50519800
26/03/07,20.0473,20.2482,19.8751,20.2482,47491500
27/03/07,20.119,20.2051,19.8392,19.8894,58979800
28/03/07,19.789,20.0903,19.6598,19.832,46947000
29/03/07,19.9755,19.9791,19.7244,19.911,42629900
30/03/07,19.911,20.0545,19.7316,19.9971,47061000
02/04/07,20.0114,20.0401,19.7746,19.9038,41977600
03/04/07,19.9899,20.1334,19.911,19.9971,39821300
04/04/07,20.0975,20.65,20.0186,20.4491,63244200
05/04/07,20.3199,20.5567,20.3056,20.485,30131200
09/04/07,20.5029,20.607,20.3702,20.4993,31384600
10/04/07,20.4491,20.5496,20.2482,20.3774,38643100
11/04/07,20.3056,20.4993,20.0832,20.1693,44050200
12/04/07,20.1334,20.5352,20.119,20.4778,43762100
13/04/07,20.3989,20.5926,20.1621,20.528,36002900
16/04/07,20.5209,20.6285,20.241,20.6141,30740100
17/04/07,20.5424,20.7289,20.4922,20.7002,33170200
18/04/07,20.528,20.5711,20.3487,20.5209,41778400
19/04/07,20.3343,20.7289,20.2769,20.5854,43648800
20/04/07,20.7935,20.8796,20.5926,20.8222,60311500
23/04/07,20.7792,20.8007,20.5711,20.65,41739100
24/04/07,20.6572,20.7792,20.5137,20.6572,34236700
25/04/07,20.7074,20.8079,20.5854,20.8007,39475000
26/04/07,20.8724,21.059,20.7433,20.8796,68760300
27/04/07,21.6473,22.0563,21.5254,21.6115,128298800
30/04/07,21.6186,21.7908,21.4823,21.4823,67788800
01/05/07,21.4823,21.8267,21.4536,21.6635,73539300
02/05/07,21.8052,22.0205,21.7406,21.9631,80686700
03/05/07,21.9559,22.2429,21.9057,22.2214,82036800
04/05/07,22.0133,22.0276,21.7334,21.9272,104385900
07/05/07,21.8985,22.0708,21.8698,22.0348,59889100
08/05/07,22.0133,22.1998,21.9415,22.0635,60551700
09/05/07,22.0276,22.1927,21.9344,22.085,51735000
